"loan_id";"account_id";"date";"amount";"duration";"payments";"status";"district_id";"frequency";"client_id";"type";"birth_number";"no. of commited crimes '95 ";"name ";"region";"no. of inhabitants";"no. of municipalities with inhabitants < 499 ";"no. of municipalities with inhabitants 500-1999";"no. of municipalities with inhabitants 2000-9999 ";"no. of municipalities with inhabitants >10000 ";"no. of cities ";"ratio of urban inhabitants ";"average salary ";"no. of enterpreneurs per 1000 inhabitants ";"no. of commited crimes '96";"unemploymant rate '95 ";"unemploymant rate '96 ";"credit_month";"withdrawal_month";"household";"first_date";"Account duration";"Gender"
5314;1787;930705;96396;12;8033;-1;30;"weekly issuance";2166;"OWNER";475722;2985;"Sokolov";"west Bohemia";94812;15;13;8;2;10;81.8;9650;100;2804;3.38;3.67;5025.0;0.0;0.0;930322;5;"F"
5316;1801;930711;165960;36;4610;1;46;"monthly issuance";2181;"OWNER";680722;2854;"Nachod";"east Bohemia";112709;48;20;7;3;10;73.5;8369;117;2618;1.79;2.31;38315.61666666666;29614.133333333335;4167.0;930213;6;"M"
6863;9188;930728;127080;60;2118;1;45;"monthly issuance";11314;"OWNER";360602;2080;"Jicin";"east Bohemia";77917;85;19;6;1;5;53.5;8390;132;2122;2.28;2.89;12524.333333333334;9145.5;7936.0;930208;6;"M"
5325;1843;930803;105804;36;2939;1;12;"monthly issuance";2235;"OWNER";405420;3804;"Pribram";"central Bohemia";107870;84;29;6;1;6;58.0;8754;137;3868;3.83;4.31;17187.114285714284;12288.171428571428;6994.0;930130;8;"F"
7240;11013;930906;274740;60;4579;1;1;"weekly issuance";13539;"OWNER";780907;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;39475.299999999996;33602.0;756.0;930214;8;"M"
6687;8261;930913;87840;24;3660;1;13;"monthly issuance";10200;"OWNER";805216;1597;"Rakovnik";"central Bohemia";53921;61;22;1;1;2;41.3;8598;123;1875;2.77;3.26;20529.56;11760.0;0.0;930512;5;"F"
6687;8261;930913;87840;24;3660;1;13;"monthly issuance";10201;"DISPONENT";851019;1597;"Rakovnik";"central Bohemia";53921;61;22;1;1;2;41.3;8598;123;1875;2.77;3.26;20529.56;11760.0;0.0;930512;5;"M"
7284;11265;930915;52788;12;4399;1;15;"monthly issuance";13845;"OWNER";730216;1845;"Cesky Krumlov";"south Bohemia";58796;22;16;7;1;5;51.9;9045;124;1879;3.13;3.6;10042.755555555554;7706.199999999999;506.0;930114;9;"M"
6111;5428;930924;174744;24;7281;-1;24;"monthly issuance";6551;"OWNER";485812;5198;"Karlovy Vary";"west Bohemia";122603;25;21;6;2;8;80.0;8991;128;5273;1.39;2.01;35666.26666666667;25976.133333333335;4100.0;930414;6;"F"
7235;10973;931013;154416;48;3217;1;18;"weekly issuance";13490;"OWNER";695525;1740;"Pisek";"south Bohemia";70699;60;13;2;1;4;65.3;8968;131;1910;2.83;3.35;26077.685714285715;18448.714285714286;0.0;930420;7;"F"
5997;4894;931104;117024;24;4876;1;14;"monthly issuance";5911;"OWNER";351003;6604;"Ceske Budejovice";"south Bohemia";177686;69;27;10;1;9;74.8;10045;135;6295;1.42;1.71;23678.7;13040.0;0.0;930620;6;"M"
7121;10364;931110;21924;36;609;1;55;"monthly issuance";12754;"OWNER";600820;3659;"Brno - venkov";"south Moravia";157042;49;70;18;0;9;33.9;8743;111;3894;1.88;2.43;14416.954545454546;9954.818181818184;6262.0;930117;12;"M"
7121;10364;931110;21924;36;609;1;55;"monthly issuance";12755;"DISPONENT";596101;3659;"Brno - venkov";"south Moravia";157042;49;70;18;0;9;33.9;8743;111;3894;1.88;2.43;14416.954545454546;9954.818181818184;6262.0;930117;12;"F"
6077;5270;931122;79608;24;3317;1;44;"monthly issuance";6367;"OWNER";700428;2166;"Chrudim";"east Bohemia";105606;77;26;7;2;7;53.0;8254;97;2325;2.79;3.76;47116.58181818182;37685.14545454545;0.0;930113;12;"M"
6228;6034;931201;464520;60;7742;-1;6;"weekly issuance";7291;"OWNER";406202;2640;"Kutna Hora";"central Bohemia";77963;60;23;4;2;4;51.5;8546;126;3120;2.95;4.02;55233.588888888895;45525.77777777778;0.0;930319;10;"F"
6356;6701;931208;95400;36;2650;1;49;"weekly issuance";8091;"OWNER";710210;1660;"Semily";"east Bohemia";75685;31;28;5;1;9;60.8;8208;155;2123;1.89;2.26;28616.111111111113;25542.0;0.0;930315;11;"M"
5523;2705;931208;93888;36;2608;1;63;"issuance after transaction";3264;"OWNER";506020;1562;"Vyskov";"south Moravia";86513;38;36;5;1;5;50.5;8288;110;1460;3.79;4.52;14169.4;8383.333333333334;0.0;930705;6;"F"
6456;7123;931209;47016;12;3918;1;64;"issuance after transaction";8598;"OWNER";576231;4484;"Zlin";"south Moravia";197099;29;41;10;2;10;74.7;9624;145;4265;1.6;2.31;31853.711111111115;25323.333333333332;14581.0;930414;9;"F"
7104;10320;931213;259740;60;4329;1;68;"monthly issuance";12695;"OWNER";790316;5623;"Frydek - Mistek";"north Moravia";228848;15;40;18;2;6;57.2;9893;96;5887;4.09;4.72;24072.25;12869.0;12414.0;930711;6;"M"
6820;9034;931216;38148;12;3179;1;1;"monthly issuance";11126;"OWNER";655122;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;20745.928571428572;13927.942857142858;4697.0;930628;7;"F"
6876;9236;931221;86616;12;7218;1;11;"monthly issuance";11372;"OWNER";610928;3475;"Praha - zapad";"central Bohemia";75637;35;36;9;0;7;36.5;9622;154;3529;0.45;0.59;11710.640000000001;4260.0;0.0;930818;5;"M"
7097;10266;931223;75624;24;3151;-1;54;"monthly issuance";12625;"OWNER";581207;18721;"Brno - mesto";"south Moravia";387570;0;0;0;1;1;100.0;9897;140;18696;1.6;1.96;25022.14285714286;19028.571428571428;13500.0;930610;7;"M"
4959;2;940105;80952;24;3373;1;1;"monthly issuance";2;"OWNER";450204;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;20789.572727272727;18258.600000000002;7266.0;930226;11;"M"
4959;2;940105;80952;24;3373;1;1;"monthly issuance";3;"DISPONENT";406009;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;20789.572727272727;18258.600000000002;7266.0;930226;11;"F"
6499;7401;940105;80952;24;3373;1;1;"monthly issuance";9173;"OWNER";450204;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;20790.354545454546;18176.781818181822;7266.0;930226;11;"M"
6499;7401;940105;80952;24;3373;1;1;"monthly issuance";9174;"DISPONENT";406009;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;20790.354545454546;18176.781818181822;7266.0;930226;11;"F"
5479;2486;940110;24516;12;2043;1;1;"monthly issuance";3001;"OWNER";581007;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;57335.0;50184.436363636356;0.0;930227;11;"M"
5170;1071;940120;253200;60;4220;1;68;"weekly issuance";1286;"OWNER";505313;5623;"Frydek - Mistek";"north Moravia";228848;15;40;18;2;6;57.2;9893;96;5887;4.09;4.72;31642.07777777778;22625.333333333332;0.0;930510;8;"F"
6721;8475;940121;21072;24;878;1;4;"monthly issuance";10459;"OWNER";645809;5244;"Kladno";"central Bohemia";149893;63;29;6;2;6;67.4;9753;109;5892;4.64;5.05;7833.42;1660.0;0.0;930908;4;"F"
7259;11111;940131;108144;36;3004;1;1;"monthly issuance";13657;"OWNER";635512;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;42991.666666666664;40555.955555555556;4736.0;930520;8;"F"
7259;11111;940131;108144;36;3004;1;1;"monthly issuance";13658;"DISPONENT";570423;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;42991.666666666664;40555.955555555556;4736.0;930520;8;"M"
5285;1603;940206;78936;12;6578;1;1;"monthly issuance";1944;"OWNER";575122;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;9540.5;7080.4;2359.0;930509;9;"F"
5189;1166;940207;149040;48;3105;1;11;"monthly issuance";1404;"OWNER";686220;3475;"Praha - zapad";"central Bohemia";75637;35;36;9;0;7;36.5;9622;154;3529;0.45;0.59;18993.160000000003;17089.800000000003;4397.0;930421;10;"F"
6650;8073;940217;49320;12;4110;-1;24;"issuance after transaction";9973;"OWNER";456003;5198;"Karlovy Vary";"west Bohemia";122603;25;21;6;2;8;80.0;8991;128;5273;1.39;2.01;44378.600000000006;41766.333333333336;695.0;930903;5;"F"
7226;10940;940223;197748;36;5493;1;50;"monthly issuance";13447;"OWNER";705505;2123;"Svitavy";"east Bohemia";102609;75;33;2;3;6;52.0;8187;94;2134;4.83;5.45;22665.766666666666;15450.0;0.0;930913;5;"F"
7226;10940;940223;197748;36;5493;1;50;"monthly issuance";13448;"DISPONENT";680708;2123;"Svitavy";"east Bohemia";102609;75;33;2;3;6;52.0;8187;94;2134;4.83;5.45;22665.766666666666;15450.0;0.0;930913;5;"M"
6087;5313;940227;300660;60;5011;1;40;"monthly issuance";6417;"OWNER";500107;6949;"Teplice";"north Bohemia";128118;9;16;6;3;8;85.3;9317;97;6872;6.49;7.07;32569.363636363636;29485.81818181818;5791.0;930429;10;"M"
7262;11135;940301;182628;36;5073;1;75;"monthly issuance";13687;"OWNER";590523;4063;"Prerov";"north Moravia";138032;67;30;4;2;5;64.6;8819;99;4505;5.38;5.66;15332.179999999998;6200.0;0.0;931010;5;"M"
5519;2694;940308;91632;12;7636;1;7;"monthly issuance";3251;"OWNER";626228;4289;"Melnik";"central Bohemia";94725;38;28;1;3;6;63.4;9920;130;4846;2.26;2.87;18244.2;15700.984615384617;3532.0;930308;12;"F"
5519;2694;940308;91632;12;7636;1;7;"monthly issuance";3252;"DISPONENT";610326;4289;"Melnik";"central Bohemia";94725;38;28;1;3;6;63.4;9920;130;4846;2.26;2.87;18244.2;15700.984615384617;3532.0;930308;12;"M"
6577;7753;940311;51696;24;2154;1;74;"monthly issuance";9593;"OWNER";685128;18782;"Ostrava - mesto";"north Moravia";323870;0;0;0;1;1;100.0;10673;100;18347;4.75;5.44;52004.707142857136;49275.97142857142;0.0;930208;14;"F"
6509;7445;940315;55368;24;2307;1;64;"monthly issuance";9226;"OWNER";396225;4484;"Zlin";"south Moravia";197099;29;41;10;2;10;74.7;9624;145;4265;1.6;2.31;33279.123076923075;32324.153846153848;0.0;930318;12;"F"
6520;7485;940316;91200;24;3800;1;39;"monthly issuance";9273;"OWNER";555826;4947;"Most";"north Bohemia";119895;17;4;3;2;4;89.9;10446;90;4743;7.34;9.4;21816.555555555555;18181.533333333336;10279.0;930728;8;"F"
6520;7485;940316;91200;24;3800;1;39;"monthly issuance";9274;"DISPONENT";580405;4947;"Most";"north Bohemia";119895;17;4;3;2;4;89.9;10446;90;4743;7.34;9.4;21816.555555555555;18181.533333333336;10279.0;930728;8;"M"
6699;8330;940330;7656;24;319;1;48;"monthly issuance";10287;"OWNER";625903;1655;"Rychnov nad Kneznou";"east Bohemia";78955;50;24;8;1;9;59.0;9060;124;1717;1.78;2.44;21450.70769230769;18654.32307692308;3708.0;930328;13;"F"
6699;8330;940330;7656;24;319;1;48;"monthly issuance";10288;"DISPONENT";590607;1655;"Rychnov nad Kneznou";"east Bohemia";78955;50;24;8;1;9;59.0;9060;124;1717;1.78;2.44;21450.70769230769;18654.32307692308;3708.0;930328;13;"M"
6336;6555;940331;212400;36;5900;1;38;"weekly issuance";7914;"OWNER";666024;2653;"Louny";"north Bohemia";85852;41;23;4;2;4;59.8;8965;104;2822;7.08;8.23;33332.015384615384;28391.923076923078;0.0;930305;13;"F"
7055;10079;940406;167100;60;2785;1;62;"monthly issuance";12396;"OWNER";705117;2719;"Uherske Hradiste";"south Moravia";145688;22;41;13;2;5;40.7;8544;109;2906;1.29;1.86;48815.43333333333;45539.58333333332;0.0;930506;11;"F"
7055;10079;940406;167100;60;2785;1;62;"monthly issuance";12397;"DISPONENT";730602;2719;"Uherske Hradiste";"south Moravia";145688;22;41;13;2;5;40.7;8544;109;2906;1.29;1.86;48815.43333333333;45539.58333333332;0.0;930506;11;"M"
6103;5385;940407;149340;60;2489;1;44;"weekly issuance";6499;"OWNER";630201;2166;"Chrudim";"east Bohemia";105606;77;26;7;2;7;53.0;8254;97;2325;2.79;3.76;15779.572727272725;13639.727272727272;8754.0;930521;11;"M"
6202;5891;940418;65184;12;5432;1;54;"monthly issuance";7127;"OWNER";570929;18721;"Brno - mesto";"south Moravia";387570;0;0;0;1;1;100.0;9897;140;18696;1.6;1.96;32804.84375;28555.124999999993;0.0;930125;16;"M"
7066;10131;940502;215388;36;5983;-1;1;"monthly issuance";12464;"OWNER";591217;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;10193.816666666668;5083.333333333333;0.0;931127;5;"M"
6696;8321;940509;89040;60;1484;1;77;"monthly issuance";10275;"OWNER";705125;3460;"Vsetin";"north Moravia";148545;8;35;12;3;4;53.5;8909;113;3590;4.01;5.56;11738.957142857142;9645.67142857143;7041.0;930412;14;"F"
6696;8321;940509;89040;60;1484;1;77;"monthly issuance";10276;"DISPONENT";761116;3460;"Vsetin";"north Moravia";148545;8;35;12;3;4;53.5;8909;113;3590;4.01;5.56;11738.957142857142;9645.67142857143;7041.0;930412;14;"M"
6072;5256;940510;193968;36;5388;1;72;"issuance after transaction";6349;"OWNER";721203;9672;"Olomouc";"north Moravia";226122;32;50;7;4;4;62.6;8994;110;9208;3.8;4.79;35772.5;25675.0;0.0;931025;7;"M"
5130;813;940511;24312;12;2026;1;16;"monthly issuance";976;"OWNER";556119;1874;"Jindrichuv Hradec";"south Bohemia";93931;74;21;10;1;8;56.9;8427;107;1913;1.12;1.54;12953.774999999998;11174.912500000002;0.0;930210;16;"F"
5568;2933;940517;272520;60;4542;1;10;"monthly issuance";3542;"OWNER";390902;3810;"Praha - vychod";"central Bohemia";92084;55;29;4;3;5;46.7;10124;141;4316;0.56;0.54;38974.63333333333;36473.783333333326;5907.0;930618;11;"M"
5568;2933;940517;272520;60;4542;1;10;"monthly issuance";3543;"DISPONENT";415819;3810;"Praha - vychod";"central Bohemia";92084;55;29;4;3;5;46.7;10124;141;4316;0.56;0.54;38974.63333333333;36473.783333333326;5907.0;930618;11;"F"
6678;8173;940520;80340;12;6695;1;11;"monthly issuance";10095;"OWNER";765206;3475;"Praha - zapad";"central Bohemia";75637;35;36;9;0;7;36.5;9622;154;3529;0.45;0.59;40613.24545454545;32491.181818181813;0.0;930705;10;"F"
6678;8173;940520;80340;12;6695;1;11;"monthly issuance";10096;"DISPONENT";780105;3475;"Praha - zapad";"central Bohemia";75637;35;36;9;0;7;36.5;9622;154;3529;0.45;0.59;40613.24545454545;32491.181818181813;0.0;930705;10;"M"
6998;9833;940521;97632;12;8136;1;20;"monthly issuance";12102;"OWNER";685907;1563;"Strakonice";"south Bohemia";70646;94;14;3;1;4;58.4;8547;120;1542;2.65;3.64;46842.200000000004;43084.90909090909;6531.0;930724;10;"F"
6580;7769;940522;196080;48;4085;1;23;"monthly issuance";9611;"OWNER";580527;2879;"Cheb";"west Bohemia";87419;21;11;4;3;9;85.5;8624;102;3198;1.79;2.66;36191.549999999996;25334.375000000004;0.0;931003;7;"M"
6316;6473;940526;76908;12;6409;-1;12;"monthly issuance";7815;"OWNER";465119;3804;"Pribram";"central Bohemia";107870;84;29;6;1;6;58.0;8754;137;3868;3.83;4.31;39223.394117647054;38347.59999999999;0.0;930126;17;"F"
6512;7454;940526;63312;48;1319;1;4;"monthly issuance";9236;"OWNER";565507;5244;"Kladno";"central Bohemia";149893;63;29;6;2;6;67.4;9753;109;5892;4.64;5.05;6909.800000000001;4870.271428571427;2306.0;930419;14;"F"
6407;6930;940526;25944;24;1081;1;41;"monthly issuance";8366;"OWNER";605521;6445;"Usti nad Labem";"north Bohemia";118650;8;8;5;1;3;85.6;9832;114;5471;3.32;4.48;25859.711111111115;18148.711111111115;0.0;930908;8;"F"
5002;173;940531;104808;12;8734;1;66;"monthly issuance";210;"OWNER";391130;2247;"Zdar nad Sazavou";"south Moravia";125832;151;41;2;3;5;48.3;8512;102;2103;3.51;4.12;16235.142857142857;12232.942857142858;6256.0;931126;6;"M"
5002;173;940531;104808;12;8734;1;66;"monthly issuance";211;"DISPONENT";455628;2247;"Zdar nad Sazavou";"south Moravia";125832;151;41;2;3;5;48.3;8512;102;2103;3.51;4.12;16235.142857142857;12232.942857142858;6256.0;931126;6;"F"
6647;8051;940601;208320;48;4340;1;1;"weekly issuance";9945;"OWNER";685414;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;26440.95;23679.5;0.0;930207;17;"F"
6647;8051;940601;208320;48;4340;1;1;"weekly issuance";9946;"DISPONENT";600420;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;26440.95;23679.5;0.0;930207;17;"M"
7137;10439;940603;151560;24;6315;1;66;"monthly issuance";12843;"OWNER";530505;2247;"Zdar nad Sazavou";"south Moravia";125832;151;41;2;3;5;48.3;8512;102;2103;3.51;4.12;30969.9125;28304.525;10134.0;931121;7;"M"
6903;9337;940604;52128;24;2172;1;30;"monthly issuance";11497;"OWNER";595717;2985;"Sokolov";"west Bohemia";94812;15;13;8;2;10;81.8;9650;100;2804;3.38;3.67;27060.966666666664;20522.644444444442;0.0;930913;9;"F"
5918;4576;940604;300204;36;8339;1;27;"monthly issuance";5517;"OWNER";640313;1029;"Plzen - jih";"west Bohemia";67298;71;19;10;0;7;43.8;8561;110;1127;0.65;1.29;20874.133333333335;18046.4;5400.0;930605;12;"M"
6642;8027;940605;77640;12;6470;1;44;"weekly issuance";9915;"OWNER";670710;2166;"Chrudim";"east Bohemia";105606;77;26;7;2;7;53.0;8254;97;2325;2.79;3.76;34423.90833333334;31855.083333333332;0.0;930707;11;"M"
6210;5927;940606;87216;48;1817;-1;15;"monthly issuance";7166;"OWNER";640513;1845;"Cesky Krumlov";"south Bohemia";58796;22;16;7;1;5;51.9;9045;124;1879;3.13;3.6;11075.471428571429;7976.742857142856;4000.0;931126;7;"M"
6279;6273;940607;87360;24;3640;1;38;"monthly issuance";7576;"OWNER";620710;2653;"Louny";"north Bohemia";85852;41;23;4;2;4;59.8;8965;104;2822;7.08;8.23;12428.472727272729;9786.836363636365;0.0;930721;11;"M"
7249;11065;940612;69360;48;1445;1;11;"monthly issuance";13603;"OWNER";410728;3475;"Praha - zapad";"central Bohemia";75637;35;36;9;0;7;36.5;9622;154;3529;0.45;0.59;12781.943750000002;10365.375000000002;0.0;930319;16;"M"
6736;8558;940614;288360;60;4806;1;1;"issuance after transaction";10555;"OWNER";351215;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;16162.599999999999;5300.0;0.0;940227;5;"M"
6112;5442;940617;174744;24;7281;-1;34;"monthly issuance";6567;"OWNER";786121;5323;"Chomutov";"north Bohemia";125236;28;11;1;4;5;87.7;9675;100;5190;6.43;7.68;27414.21875;26981.037499999995;8110.0;930322;16;"F"
5319;1811;940623;239460;60;3991;1;40;"monthly issuance";2195;"OWNER";425913;6949;"Teplice";"north Bohemia";128118;9;16;6;3;8;85.3;9317;97;6872;6.49;7.07;24098.29;20474.24;4206.0;930922;9;"F"
6596;7844;940625;91584;24;3816;1;1;"monthly issuance";9702;"OWNER";516116;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;32183.15;25952.775;0.0;931126;7;"F"
5837;4260;940629;244560;60;4076;1;56;"monthly issuance";5134;"OWNER";675719;2854;"Breclav";"south Moravia";124605;11;42;14;1;8;46.0;8772;126;3158;4.69;4.98;24912.32222222222;22542.75555555556;12006.0;931014;8;"F"
5657;3354;940705;4980;12;415;1;63;"monthly issuance";4056;"OWNER";525726;1562;"Vyskov";"south Moravia";86513;38;36;5;1;5;50.5;8288;110;1460;3.79;4.52;11299.755555555555;8799.71111111111;489.0;931105;8;"F"
5533;2762;940705;111384;24;4641;1;19;"monthly issuance";3335;"OWNER";670210;999;"Prachatice";"south Bohemia";51428;50;11;3;1;4;52.7;8402;120;1099;3.13;3.98;62003.60000000001;58926.02352941175;6892.0;930320;17;"M"
6232;6051;940708;276660;36;7685;-1;56;"monthly issuance";7311;"OWNER";490518;2854;"Breclav";"south Moravia";124605;11;42;14;1;8;46.0;8772;126;3158;4.69;4.98;9280.916666666668;7632.3;2400.0;930828;11;"M"
6888;9265;940711;39576;12;3298;1;1;"monthly issuance";11409;"OWNER";805502;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;27098.855555555554;25771.011111111107;9493.0;930204;18;"F"
6066;5228;940711;173808;24;7242;1;77;"issuance after transaction";6317;"OWNER";575127;3460;"Vsetin";"north Moravia";148545;8;35;12;3;4;53.5;8909;113;3590;4.01;5.56;49970.56428571429;43225.42857142857;0.0;930623;13;"F"
6066;5228;940711;173808;24;7242;1;77;"issuance after transaction";6318;"DISPONENT";500305;3460;"Vsetin";"north Moravia";148545;8;35;12;3;4;53.5;8909;113;3590;4.01;5.56;49970.56428571429;43225.42857142857;0.0;930623;13;"M"
5549;2824;940716;50460;60;841;1;11;"monthly issuance";3414;"OWNER";476017;3475;"Praha - zapad";"central Bohemia";75637;35;36;9;0;7;36.5;9622;154;3529;0.45;0.59;15821.439999999999;11668.34;7289.0;931020;9;"F"
5060;426;940719;252060;60;4201;-1;1;"monthly issuance";512;"OWNER";655803;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;43290.5;35502.0;7497.0;931129;8;"F"
6004;4937;940723;143904;24;5996;1;12;"monthly issuance";5965;"OWNER";510410;3804;"Pribram";"central Bohemia";107870;84;29;6;1;6;58.0;8754;137;3868;3.83;4.31;36564.961111111115;34435.16666666666;2687.0;930220;18;"M"
5126;790;940724;208128;48;4336;-1;54;"monthly issuance";946;"OWNER";510806;18721;"Brno - mesto";"south Moravia";387570;0;0;0;1;1;100.0;9897;140;18696;1.6;1.96;22859.09333333333;17427.453333333335;0.0;930511;15;"M"
7220;10911;940728;131292;36;3647;1;1;"weekly issuance";13412;"OWNER";540320;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;22945.16;20854.4;7312.0;930529;15;"M"
6668;8129;940730;74736;36;2076;1;45;"monthly issuance";10043;"OWNER";651029;2080;"Jicin";"east Bohemia";77917;85;19;6;1;5;53.5;8390;132;2122;2.28;2.89;20789.478571428575;18414.914285714287;6184.0;930626;14;"M"
5395;2176;940730;299088;36;8308;-1;67;"monthly issuance";2635;"OWNER";666210;3244;"Bruntal";"north Moravia";106054;38;25;6;2;6;63.1;8110;109;3079;5.77;6.55;58054.23571428571;56665.04285714285;1085.0;930606;14;"F"
6836;9093;940803;189300;60;3155;1;47;"monthly issuance";11195;"OWNER";531205;6079;"Pardubice";"east Bohemia";162580;83;26;5;1;6;72.8;9538;111;5410;1.51;1.81;19508.242857142854;17754.528571428575;1311.0;930616;15;"M"
6064;5215;940804;14628;12;1219;1;55;"monthly issuance";6301;"OWNER";495308;3659;"Brno - venkov";"south Moravia";157042;49;70;18;0;9;33.9;8743;111;3894;1.88;2.43;17399.707692307693;14714.876923076925;2.0;930701;14;"F"
6919;9403;940805;120888;36;3358;1;1;"weekly issuance";11574;"OWNER";445420;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;26247.755555555555;23358.055555555555;3225.0;930327;18;"F"
6841;9104;940807;172080;48;3585;1;10;"monthly issuance";11208;"OWNER";575305;3810;"Praha - vychod";"central Bohemia";92084;55;29;4;3;5;46.7;10124;141;4316;0.56;0.54;38264.12857142858;29948.485714285714;0.0;940121;8;"F"
